Wiper Position,Resistance Value (Ohms),Wiper Voltage (mV)
0,0,0
1,101,49
2,202,102.9
3,303,147
4,404,200.9
5,505,249.9
6,606,303.8
7,707,352.8
8,808,401.8
9,909,450.8
10,1010,504.7
11,1111,553.7
12,1212,607.6
13,1313,656.6
14,1414,705.6
15,1515,759.5
16,1616,808.5
17,1717,857.5
18,1818,911.4
19,1919,960.4
20,2020,1009.4
21,2121,1058.4
22,2222,1112.3
23,2323,1161.3
24,2424,1210.3
25,2525,1264.2
26,2626,1313.2
27,2727,1367.1
28,2828,1411.2
29,2929,1465.1
30,3030,1514.1
31,3131,1568
32,3232,1617
33,3333,1666
34,3434,1715
35,3535,1768.9
36,3636,1822.8
37,3737,1871.8
38,3838,1920.8
39,3939,1974.7
40,4040,2023.7
41,4141,2072.7
42,4242,2126.6
43,4343,2175.6
44,4444,2229.5
45,4545,2278.5
46,4646,2327.5
47,4747,2381.4
48,4848,2430.4
49,4949,2479.4
50,5050,2528.4
51,5151,2582.3
52,5252,2631.3
53,5353,2680.3
54,5454,2729.3
55,5555,2783.2
56,5656,2832.2
57,5757,2886.1
58,5858,2935.1
59,5959,2984.1
60,6060,3033.1
61,6161,3082.1
62,6262,3136
63,6363,3185
64,6464,3238.9
65,6565,3287.9
66,6666,3336.9
67,6767,3385.9
68,6868,3439.8
69,6969,3488.8
70,7070,3542.7
71,7171,3596.6
72,7272,3640.7
73,7373,3694.6
74,7474,3743.6
75,7575,3792.6
76,7676,3841.6
77,7777,3895.5
78,7878,3949.4
79,7979,3993.5
80,8080,4047.4
81,8181,4096.4
82,8282,4145.4
83,8383,4199.3
84,8484,4248.3
85,8585,4302.2
86,8686,4351.2
87,8787,4400.2
88,8888,4449.2
89,8989,4498.2
90,9090,4552.1
91,9191,4606
92,9292,4655
93,9393,4704
94,9494,4753
95,9595,4806.9
96,9696,4855.9
97,9797,4904.9
98,9898,4953.9
99,10000,5007.8
